Formulas|Descriptions
seconds = 60 * (60 * (angle_degrees - degrees) - minutes)|Extracts the seconds component from a decimal degree value.
WS = sqrt((TAS - GS)^2 + 4 * TAS * GS * (sin((HD - CRS) / 2))^2)|Calculates the wind speed given the true airspeed, groundspeed, heading, and course.
WD = CRS + atan2(TAS * sin(HD - CRS), TAS * cos(HD - CRS) - GS)|Calculates the wind direction given the true airspeed, groundspeed, heading, and course.
IF (WD < 0) THEN WD = WD + 2 * pi|Adjusts the wind direction to be within the range of 0 to 2*pi if it falls below 0.
IF (WD > 2 * pi) THEN WD = WD - 2 * pi|Adjusts the wind direction to be within the range of 0 to 2*pi if it exceeds 2*pi.
SWC = (WS / TAS) * sin(WD - CRS)|Calculates the sine of the wind correction angle for determining heading.
"IF (abs(SWC) > 1) ""course cannot be flown-- wind too strong"""|Checks if the wind correction angle is too large to fly the course.
HD = CRS + asin(SWC)|Calculates the heading required to maintain the desired course considering the wind.
IF (HD < 0) HD = HD + 2 * pi|Adjusts the heading to be within the range of 0 to 2*pi if it falls below 0.
IF (HD > 2 * pi) HD = HD - 2 * pi|Adjusts the heading to be within the range of 0 to 2*pi if it exceeds 2*pi.
GS = TAS * sqrt(1 - SWC^2) - WS * cos(WD - CRS)|Calculates the groundspeed considering the wind speed and direction.
GS = sqrt(WS^2 + TAS^2 - 2 * WS * TAS * cos(HD - WD))|Calculates the groundspeed given the true airspeed, wind speed, heading, and wind direction.
WCA = atan2(WS * sin(HD - WD), TAS - WS * cos(HD - WD))|Calculates the wind correction angle using the atan2 function.
CRS = MOD(HD + WCA, 2 * pi)|Calculates the course considering the wind correction angle.
WCA = asin((WS / GS) * sin(HD - WD))|Calculates the wind correction angle assuming the wind correction angle is less than 90 degrees.
HW = WS * cos(WD - RD)|Calculates the headwind component where a tailwind is considered negative.
XW = WS * sin(WD - RD)|Calculates the crosswind component where positive values indicate wind from the right.
WD = WD_in_degrees * (pi / 180)|Converts wind direction from degrees to radians.
RD = RD_in_degrees * (pi / 180)|Converts runway direction from degrees to radians.
vms = (v1^2 + v2^2 + v3^2) / 3|Calculates the mean squared groundspeed from three measured groundspeeds.
a1 = v1^2 / vms - 1|Computes the relative difference for the first groundspeed compared to the mean squared groundspeed.
a2 = v2^2 / vms - 1|Computes the relative difference for the second groundspeed compared to the mean squared groundspeed.
a3 = v3^2 / vms - 1|Computes the relative difference for the third groundspeed compared to the mean squared groundspeed.
mu = (a1^2 + a2^2 + a3^2) / 6|Calculates the mean of the squares of the relative differences.
bp = 1/2 + sqrt(1/4 - mu)|Finds the positive root of the quadratic equation b^2 - b + mu = 0.
bm = mu / bp|Calculates the other root using the value of the positive root bp.
TAS = sqrt(vms * bp)|Calculates the true airspeed assuming it exceeds the windspeed.
Windspeed = sqrt(vms * bm)|Calculates the windspeed assuming the true airspeed exceeds the windspeed.
IF TAS < Windspeed|Exchange the roots if the true airspeed is less than the windspeed.
var = -65.6811 + 0.99 * x + 0.0128899 * x^2 - 0.0000905928 * x^3 + 2.87622 * y - 0.0116268 * x * y - 0.00000603925 * x^2 * y - 0.0389806 * y^2 - 0.0000403488 * x * y^2 + 0.000168556 * y^3|Polynomial fit formula to estimate magnetic variation for the continental US where x is latitude (N) and y is longitude (W).
var = 618.854 + 2.76049 * x - 0.556206 * x^2 + 0.00251582 * x^3 - 12.7974 * y + 0.408161 * x * y + 0.000434097 * x^2 * y - 0.00602173 * y^2 - 0.00144712 * x * y^2 + 0.000222521 * y^3|Polynomial fit formula to estimate magnetic variation for Alaska where x is latitude (N) and y is longitude (W).
var = 10.4768771667158 - 0.507385322418858 * lon + 0.00753170031703826 * lon^2 - 1.40596203924748e-05 * lon^3 - 0.535560699962353 * lat + 0.0154348808069955 * lat * lon - 8.07756425110592e-05 * lat * lon^2 + 0.00976887198864442 * lat^2 - 0.000259163929798334 * lat^2 * lon - 3.69056939266123e-05 * lat^3|Polynomial fit formula to estimate magnetic variation for Western Europe where lon is longitude (E) and lat is latitude (N).
T_s = T_0 - T_r * h|Calculates the standard temperature at altitude h (h < h_Tr).
T_s = T_Tr|Standard temperature above the tropopause up to 20 km altitude.
T_s = 15 - 0.0019812 * h|Calculates the standard temperature at altitude h in feet (h < 36089.24 ft).
p = P_0 * (1 - 6.8755856e-6 * h)^5.2558797|Calculates the pressure at altitude h below the tropopause (h < 36089.24 ft).
p_Tr = 0.2233609 * P_0|Calculates the pressure at the tropopause.
p = p_Tr * exp(-4.806346e-5 * (h - 36089.24))|Calculates the pressure above the tropopause (h > 36089.24 ft).
rho = rho_0 * (1 - 6.8755856e-6 * h)^4.2558797|Calculates the air density at altitude h below the tropopause (h < 36089.24 ft).
rho_Tr = 0.2970756 * rho_0|Calculates the air density at the tropopause.
rho = rho_Tr * exp(-4.806346e-5 * (h - 36089.24))|Calculates the air density above the tropopause (h > 36089.24 ft).
P_alt_corr = 145442.2 * (1 - (alt_set / 29.92126)^0.190261)|Calculates the pressure altitude correction in feet using the altimeter setting.
P_alt_corr = (29.92 - alt_set) * 1000|Simple approximation for pressure altitude correction.
P_alt = Ind_Alt + P_alt_corr|Calculates the pressure altitude using the indicated altitude and the pressure altitude correction.
D_Alt = P_alt + (T_s / T_r) * (1 - (T_s / T)^0.2349690)|Calculates the density altitude using the pressure altitude and the ratio of standard to actual temperature.
D_Alt = P_Alt + 118.6 * (T - T_s)|Approximate formula for density altitude where T and T_s may be in Celsius or Kelvin.
TA = CA + (CA - FE) * (ISADEV) / (273 + OAT)|Calculates the true altitude above sea-level using the calibrated altitude, field elevation, average deviation from standard temperature, and outside air temperature.
Mach Number (M) = TAS / CS|Calculates the Mach number as the ratio of true airspeed to the speed of sound.
CS = 38.967854 * sqrt(T + 273.15)|Calculates the speed of sound (CS) in knots given the outside air temperature (T) in Celsius.
IAT = OAT + K * TAS^2 / 7592|Estimates the indicated air temperature (IAT) considering the effect of compressibility on the true air temperature (OAT).
OAT = (IAT + 273.15) / (1 + 0.2 * K * M^2) - 273.15|Calculates the outside air temperature (OAT) using the indicated air temperature (IAT) and Mach number (M).
TAS = CAS * (rho_0 / rho)^0.5|Calculates the true airspeed (TAS) using the calibrated airspeed (CAS) and the ratio of sea-level density to the air density at altitude.
TAS = CAS / (1 - 6.8755856e-6 * DA)^2.127940|Simplified formula to calculate true airspeed (TAS) from calibrated airspeed (CAS) and density altitude (DA < 36089.24 ft).
DP = P_0 * ((1 + 0.2 * (IAS / CS_0)^2)^3.5 - 1)|Calculates the differential pressure (DP) using the indicated airspeed (IAS) and speed of sound at sea level (CS_0).
M = sqrt(5 * ((DP / P + 1)^(2/7) - 1))|Calculates the Mach number from differential pressure (DP) and pressure at altitude (P).
TAS = M * CS|Calculates the true airspeed (TAS) using the Mach number (M) and the speed of sound (CS).
M = 0.881285 * sqrt((DP / P + 1) * (1 - 1 / (7 * M^2))^(5/2))|Iteratively refines the Mach number (M) for supersonic flight using Rayleigh's Supersonic Pitot equation.
P = P_0 * (1 - 6.8755856e-6 * PA)^5.2558797|Calculates the pressure at a given pressure altitude (PA) below the tropopause.
CS_0 = 38.967854 * sqrt(15 + 273.15)|Calculates the speed of sound at sea level (CS_0).
x = (1 - 6.8755856e-6 * PA)^5.2558797|Intermediate variable for finding indicated airspeed (IAS) given Mach number (M) and pressure altitude (PA).
ias = 661.4786 * sqrt(5 * ((1 + x * ((1 + M^2 / 5)^3.5 - 1))^(2/7) - 1))|Calculates the indicated airspeed (IAS) from the Mach number (M) and pressure altitude (PA) for subsonic speeds (M <= 1).
f = exp(17.27 * (Td / (Td + 237.3) - T / (T + 237.3)))|Calculates the relative humidity (f) as a fraction using the temperature (T) and dewpoint (Td) in Celsius.
f = exp(21.87 * (Tf / (Tf + 265.5) - T / (T + 265.5)))|Calculates the relative humidity (f) as a fraction using the temperature (T) and frostpoint (Tf) in Celsius.
e_s = 6.11 * exp(b * T / (T + a))|Calculates the saturation vapor pressure (e_s) over water or ice using constants a and b.
Dewpoint (Td) = 237.3 / (1 / (ln(f) / 17.27 + T / (T + 237.3)) - 1)|Finds the dewpoint temperature in Celsius from the relative humidity (f) and temperature (T).
Frostpoint (Tf) = 265.5 / (1 / (ln(f) / 21.87 + T / (T + 265.5)) - 1)|Finds the frostpoint temperature in Celsius from the relative humidity (f) and temperature (T).
ed = 6.11 * exp(17.27 * T / (T + 237.3))|Calculates the saturation vapor pressure at the dry-bulb temperature (T) in Celsius.
ew = 6.11 * exp(17.27 * Tw / (Tw + 237.3))|Calculates the saturation vapor pressure at the wet-bulb temperature (Tw) in Celsius.
wd = 0.62197 * ed / (p - ed)|Computes the saturation mixing ratio at the dry-bulb temperature (T).
ww = 0.62197 * ew / (p - ew)|Computes the saturation mixing ratio at the wet-bulb temperature (Tw).
w = (2500.0 * ww - 1.0046 * (T - Tw)) / (2500.0 + 1.81 * (T - Tw))|Calculates the mixing ratio using the dry-bulb and wet-bulb temperatures.
f = w / wd|Determines the relative humidity as a fraction.
e = p * w / (0.62197 + w)|Calculates the vapor pressure (e) in millibars.
Td = (237.3 * log10(e) - 186.527) / (8.286 - log10(e))|Finds the dewpoint temperature (Td) in Celsius from the vapor pressure (e).
Increase(ft) = 0.267 * RH * (T + 273) * exp(17.3 * T / (T + 237)) * (1 - 0.00000688 * H)^(-5.26)|Calculates the increase in effective density altitude due to humidity using the temperature (T) in Celsius and pressure altitude (H) in feet.
Increase(ft) = 0.267 * (T + 273) * exp(17.3 * Td / (Td + 237)) * (1 - 0.00000688 * H)^(-5.26)|Calculates the increase in effective density altitude using the dewpoint (Td) in Celsius and pressure altitude (H) in feet.
Drift (nm) = 21500 * (p2 - p1) / (sin(latitude) * TAS)|Calculates the wind drift in nautical miles using the pressure difference in inches, average latitude, and true airspeed.
Drift (nm) = 635 * (p2 - p1) / (sin(latitude) * TAS)|Calculates the wind drift in nautical miles using the pressure difference in millibars, average latitude, and true airspeed.
Wind Correction Angle = 1230000 * (p2 - p1) / (sin(latitude) * TAS * Dist)|Calculates the wind correction angle in degrees using the pressure difference in inches, average latitude, true airspeed, and distance.
Wind Correction Angle = 36300 * (p2 - p1) / (sin(latitude) * TAS * Dist)|Calculates the wind correction angle in degrees using the pressure difference in millibars, average latitude, true airspeed, and distance.
1 knot = 1.852 km/hr|Converts knots to kilometers per hour.
1 knot = 1.687810 ft/sec|Converts knots to feet per second.
1 knot = 1.150779 mph|Converts knots to miles per hour.
1 mph = 0.868976 knot|Converts miles per hour to knots.
1 mph = 1.609344 km/hr|Converts miles per hour to kilometers per hour.
1 mph = 1.466667 ft/sec|Converts miles per hour to feet per second.
1 km/hr = 0.539968 knot|Converts kilometers per hour to knots.
1 km/hr = 0.911344 ft/sec|Converts kilometers per hour to feet per second.
1 km/hr = 0.621371 mph|Converts kilometers per hour to miles per hour.
WGS84, Major axis a = 6378.13700 km, Flattening f = 1/298.257223563|Describes the WGS84 ellipsoid parameters.
GRS80/NAD83, Major axis a = 6378.13700 km, Flattening f = 1/298.257222101|Describes the GRS80/NAD83 ellipsoid parameters.
WGS66, Major axis a = 6378.145 km, Flattening f = 1/298.25|Describes the WGS66 ellipsoid parameters.
GRS67/IAU68, Major axis a = 6378.16000 km, Flattening f = 1/298.2472|Describes the GRS67/IAU68 ellipsoid parameters.
WGS72, Major axis a = 6378.135 km, Flattening f = 1/298.26|Describes the WGS72 ellipsoid parameters.
Krasovsky, Major axis a = 6378.245 km, Flattening f = 1/298.3|Describes the Krasovsky ellipsoid parameters.
Clarke66/NAD27, Major axis a = 6378.2064 km, Flattening f = 1/294.9786982138|Describes the Clarke66/NAD27 ellipsoid parameters.
tan(u) = tan(v) * (h * sqrt((a * cos(v))^2 + (b * sin(v))^2) + b^2) / (h * sqrt((a * cos(v))^2 + (b * sin(v))^2) + a^2)|Converts geodetic latitude (v) and height (h) to geocentric latitude (u).
r^2 = h^2 + 2 * h * sqrt((a * cos(v))^2 + (b * sin(v))^2) + (a^4 - (a^4 - b^4) * (sin(v))^2) / (a^2 - (a^2 - b^2) * (sin(v))^2)|Calculates the geocentric radius (r) using geodetic latitude (v) and height (h).
tan(b) = v^2 / (R * g)|Calculates the bank angle (b) in radians for a given airspeed (v) and turn radius (R).
v = w * R|Relates airspeed (v) to the turn radius (R) and rate of turn (w).
h_p = v^2 / g|Calculates the pivotal altitude (h_p) for a given airspeed (v) and gravitational acceleration (g).
R = v^2 / (11.23 * tan(0.01745 * b))|Calculates the radius of turn (R) in feet given airspeed (v) in knots and bank angle (b) in degrees.
w = 96.7 * v / R|Calculates the rate of turn (w) in degrees per second given airspeed (v) and radius of turn (R).
b_s = 57.3 * atan(v / 362.1)|Calculates the bank angle (b_s) for a standard rate turn given airspeed (v) in knots.
b_s ≈ v / 7|Provides a rule-of-thumb for estimating the bank angle (b_s) for a standard rate turn for speeds less than 250 knots.
h_p = v^2 / 11.23|Calculates the pivotal altitude (h_p) in feet for a given airspeed (v) in knots.
d = sqrt(2 * R * h / b)|Calculates the distance to the horizon (d) given the height (h) above the ground and the Earth's radius (R), adjusted for atmospheric refraction factor (b).
b = 0.8279|Atmospheric refraction factor that accounts for the standard temperature lapse rate.
d = 1.17 * sqrt(h)|Simplified formula for calculating the distance to the horizon (d) in nautical miles (nm) given the height (h) in feet.
bearing = atan2(sin(Δλ) * cos(lat2), cos(lat1) * sin(lat2) - sin(lat1) * cos(lat2) * cos(Δλ))|Calculates the initial bearing from point p1 to point p2.
offset_bearing_right = bearing + 90|Calculates the offset bearing to the right of the route.
offset_bearing_left = bearing - 90|Calculates the offset bearing to the left of the route.
lat3 = asin(sin(lat1) * cos(n/R) + cos(lat1) * sin(n/R) * cos(offset_bearing))|Calculates the latitude of the new point p3 offset by distance n to the left or right of the original route.
lon3 = lon1 + atan2(sin(offset_bearing) * sin(n/R) * cos(lat1), cos(n/R) - sin(lat1) * sin(lat3))|Calculates the longitude of the new point p3 offset by distance n to the left or right of the original route.
lat4, lon4, Repeat the calculations for point p4 using point p2 as the reference|Calculates the latitude and longitude of the new point p4 offset by distance n to the left or right of the original route.
Fuel_Consumption = Total_Fuel / Flight_Time|Calculates the fuel consumption for a given route by dividing the total fuel by the flight time.
Range = TAS * Total_Fuel / Fuel_Flow|Calculates the range of the aircraft using the true airspeed (TAS) and fuel consumption rate.
Endurance = Total_Fuel / Fuel_Flow|Calculates the endurance of the aircraft based on the available fuel and fuel flow rate.
Critical_Point = (2 * Distance_to_Destination * Ground_Speed_Back) / (Ground_Speed_Forward + Ground_Speed_Back)|Determines the critical point where the aircraft can either continue to the destination or return to the origin.
Takeoff_Distance = (1.2 * V_R^2) / (2 * g * (Thrust - Drag - Rolling_Resistance))|Calculates the takeoff distance considering thrust, drag, and rolling resistance.
Landing_Distance = (V_Ref^2) / (2 * g * (Deceleration))|Calculates the landing distance using the reference speed and deceleration.
Rate_of_Climb = (Excess_Power) / (Weight)|Determines the rate of climb using the excess power and aircraft weight.
Rate_of_Descent = (Thrust - Drag) / Weight|Calculates the rate of descent considering thrust and drag.
V_Speeds = [V1, VR, V2, Vx, Vy, Vne, etc.]|Computes and determines key operational speeds for flight safety.
Magnetic_Deviation = True_Course - Magnetic_Course|Calculates the magnetic deviation between the true course and magnetic course.
Point_of_No_Return = (Ground_Speed_Forward * Total_Fuel) / (Ground_Speed_Back + Ground_Speed_Forward)|Determines the point beyond which returning to the origin is not possible.
Direct_Route = acos(sin(lat1) * sin(lat2) + cos(lat1) * cos(lat2) * cos(lon2 - lon1)) * R|Calculates the direct route distance between two points.
Center_of_Gravity = (Sum_of_Moments) / (Total_Weight)|Calculates the aircraft's center of gravity based on the sum of moments and total weight.
Stability_Check = (CG - CG_Limits)|Checks the center of gravity position relative to the allowable limits for stability.
Wind_Shear = Change_in_Wind_Speed / Change_in_Altitude|Calculates wind shear based on the change in wind speed relative to change in altitude.
Icing_Risk = (Temperature < 0) and (Relative_Humidity > 0.7)|Determines the risk of icing based on temperature and relative humidity.
Turbulence_Index = sqrt((dV/dt)^2 + (dOmega/dt)^2)|Computes the turbulence index using changes in speed and angular rate.
VOR_Range = 1.23 * sqrt(Altitude)|Calculates the range of the VOR station based on the aircraft's altitude.
DME_Distance = sqrt((Aircraft_Altitude)^2 + (Horizontal_Distance)^2)|Calculates the DME distance using aircraft altitude and horizontal distance.
Radio_Wave_Propagation = Speed_of_Light / Frequency|Calculates the propagation of radio waves based on the speed of light and frequency.
Lift_Force = 0.5 * rho * v^2 * S * CL|Calculates the lift force based on air density, velocity, wing area, and lift coefficient.
Thrust_Force = (Mass_Flow_Rate * Exhaust_Velocity) - (Mass_Flow_Rate * Air_Inlet_Velocity)|Computes the thrust force based on mass flow rate and exhaust velocity.
Drag_Force = 0.5 * rho * v^2 * S * CD|Calculates the drag force using air density, velocity, wing area, and drag coefficient.
Turn_Radius = v^2 / (g * tan(bank_angle))|Calculates the turn radius during a maneuver.
Standard_Rate_Turn = 3 * TAS / 3600|Computes the standard rate turn given the true airspeed.
Pitch_Angle = asin((Lift - Weight) / (Thrust))|Determines the pitch angle during a maneuver.
Altimeter_Error_Correction = Indicated_Altitude - True_Altitude|Calculates the altimeter error correction using indicated and true altitudes.
Nonlinear_Altimeter_Model = h = (P0/P)^(1/5.257) - 1|Uses nonlinear models to calculate the actual altitude.
GPS_Position = [Latitude, Longitude, Altitude]|Computes the aircraft's position using GPS systems.
Great_Circle_Distance = R * acos(sin(lat1) * sin(lat2) + cos(lat1) * cos(lat2) * cos(lon2 - lon1))|Calculates the optimal distance between two points using great circle routes.
Initial_Bearing = atan2(sin(Δlon) * cos(lat2), cos(lat1) * sin(lat2) - sin(lat1) * cos(lat2) * cos(Δlon))|Calculates the initial bearing from the aircraft's current position to the DME station.
Distance_to_Station = sqrt((lat2 - lat1)^2 + (cos((lat1 + lat2) / 2) * (lon2 - lon1))^2) * R|Calculates the distance from the aircraft to the DME station using the Haversine formula.
New_Heading = Initial_Bearing + 90 (or -90 for left turns)|Adjusts the aircraft's heading to intercept and fly along the DME arc to the right or left of the station.
Next_Waypoint_Lat = lat1 + (DME_Distance/R) * cos(New_Heading)|Calculates the latitude of the next waypoint on the DME arc.
Next_Waypoint_Lon = lon1 + (DME_Distance/R) * sin(New_Heading) / cos(lat1)|Calculates the longitude of the next waypoint on the DME arc.
